País,Ciudad,Descripción del País,Hotel Sugerido,Descripción del Hotel,Precio por Noche (USD),Estrellas del Hotel,Lugar Turístico Recomendado,Descripción del Lugar Turístico,Precio Entrada al Lugar (USD),Fechas Disponibles
Chile,Albacete,"Chile sorprende con su geografía diversa, desde el desierto más árido hasta glaciares imponentes.",Gran Mirador Albacete,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",206.33,4,Mercado local de Albacete,Una joya arquitectónica que representa siglos de historia y cultura del país.,26.57,2025-06-08 a 2025-07-19
Canadá,Asturias,"Canadá enamora con sus parques nacionales, lagos cristalinos y vida salvaje.",Gran Mirador Asturias,"Perfecto para familias, con habitaciones amplias, piscina y acceso a atracciones cercanas.",167.44,4,Rascacielos de Asturias,Un destino perfecto para conectar con la naturaleza y capturar fotos inolvidables.,36.1,2025-06-06 a 2025-07-14
Japón,Alicante,"Japón mezcla tradición y tecnología, con templos antiguos y ciudades futuristas.",Hotel Horizonte Alicante,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",168.47,4,Parque Nacional de Alicante,Un sitio icónico lleno de belleza natural y vistas impresionantes.,26.38,2025-06-24 a 2025-08-20
España,Málaga,"España es un país vibrante con una mezcla de historia, arquitectura única y playas impresionantes.",Hotel Brisas del Sur Málaga,"Un elegante hotel con vistas panorámicas, ideal para relajarse y disfrutar de la cultura local.",74.65,4,Rascacielos de Málaga,Una atracción reconocida por su ambiente vibrante y experiencias culturales únicas.,21.75,2025-06-10 a 2025-08-05
Australia,León,"Australia impresiona con la Gran Barrera de Coral, playas vírgenes y vida salvaje única.",Estancia del Mar León,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",55.26,4,Rascacielos de León,Una atracción reconocida por su ambiente vibrante y experiencias culturales únicas.,12.47,2025-06-02 a 2025-07-13
Japón,Córdoba,"Japón mezcla tradición y tecnología, con templos antiguos y ciudades futuristas.",Villa Real Córdoba,"Un refugio boutique rodeado de naturaleza, con diseño contemporáneo y ambiente tranquilo.",113.57,4,Playa de Córdoba,Una joya arquitectónica que representa siglos de historia y cultura del país.,29.34,2025-06-17 a 2025-07-28
Alemania,Madrid,"Alemania combina bosques, castillos medievales y ciudades modernas llenas de historia.",Gran Mirador Madrid,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",197.43,3,Castillo de Madrid,Una joya arquitectónica que representa siglos de historia y cultura del país.,10.26,2025-06-10 a 2025-08-11
Egipto,La Coruña,"Egipto es cuna de civilización, con pirámides milenarias y el majestuoso Nilo.",Refugio del Viajero La Coruña,"Situado junto al mar, combina hospitalidad y paisajes inigualables con excelente gastronomía.",252.14,5,Rascacielos de La Coruña,Una atracción reconocida por su ambiente vibrante y experiencias culturales únicas.,11.97,2025-06-26 a 2025-07-14
Perú,Navarra,"Perú, tierra de los Incas, fascina con Machu Picchu, su cultura viva y sabrosa comida criolla.",Oasis Urbano Navarra,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",275.04,5,Rascacielos de Navarra,Un sitio icónico lleno de belleza natural y vistas impresionantes.,39.11,2025-06-02 a 2025-08-21
Corea del Sur,Zamora,"Corea del Sur ofrece cultura pop, comida deliciosa y paisajes de montaña.",Palacio del Sol Zamora,"Ofrece lujo y comodidad en pleno centro, con spa, restaurante gourmet y servicio personalizado.",108.67,5,Monumento famoso de Zamora,Un sitio icónico lleno de belleza natural y vistas impresionantes.,34.93,2025-06-06 a 2025-07-11
